14:15:18 [INFO] mysql: [MySQL] 创建连接池...
14:15:19 [INFO] mysql: [MySQL] 连接池就绪，表结构已检查
14:15:40 [INFO] mysql: [MySQL] 创建连接池...
14:15:40 [INFO] mysql: [MySQL] 连接池就绪，表结构已检查
14:15:53 [INFO] mysql: [MySQL] 创建连接池...
14:15:53 [INFO] mysql: [MySQL] 连接池就绪，表结构已检查
14:16:15 [INFO] mysql: [MySQL] 创建连接池...
14:16:15 [INFO] mysql: [MySQL] 连接池就绪，表结构已检查
14:16:15 [INFO] migrate: [迁移] scan_results.json 不存在，跳过
14:16:15 [INFO] migrate: [迁移] backtest_results.json 不存在，跳过
14:16:15 [INFO] migrate: [迁移] schedule_config: enabled=True
14:16:15 [INFO] migrate: [迁移] 全部完成
14:16:15 [INFO] web_app: [App] MySQL 就绪，已恢复扫描数据
14:16:15 [INFO] web_app: [App] 调度器已启动
14:16:15 [INFO] web_app: [调度器] 启动
14:28:16 [DEBUG] strategies: [主力建仓] 301381 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 301381 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002192 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002192 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600498 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600498 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 603101 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 603101 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002010 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002010 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 300502 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 300502 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 003017 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 003017 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002637 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002637 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 001309 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 001309 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600595 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600595 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600497 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600497 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002209 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002209 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 300827 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 300827 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002155 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002155 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 301031 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 301031 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 603151 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 603151 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600392 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600392 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 688410 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 688410 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 601233 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 601233 验证通过 | 验证通过 | 来源: cache
