日期,总资产(元),累计收益率,每日收益率
2024-01-02,1000000.00,0.0000%,0.0000%
2024-01-03,1000000.00,0.0000%,0.0000%
2024-01-04,1000000.00,0.0000%,0.0000%
2024-01-05,1000000.00,0.0000%,0.0000%
2024-01-08,1000000.00,0.0000%,0.0000%
2024-01-09,1000000.00,0.0000%,0.0000%
2024-01-10,1000000.00,0.0000%,0.0000%
2024-01-11,1000000.00,0.0000%,0.0000%
2024-01-12,1000000.00,0.0000%,0.0000%
2024-01-15,1000000.00,0.0000%,0.0000%
2024-01-16,1000000.00,0.0000%,0.0000%
2024-01-17,1000000.00,0.0000%,0.0000%
2024-01-18,1000000.00,0.0000%,0.0000%
2024-01-19,1000000.00,0.0000%,0.0000%
2024-01-22,1000000.00,0.0000%,0.0000%
2024-01-23,1000000.00,0.0000%,0.0000%
2024-01-24,1000000.00,0.0000%,0.0000%
2024-01-25,1000000.00,0.0000%,0.0000%
2024-01-26,1000000.00,0.0000%,0.0000%
2024-01-29,1000000.00,0.0000%,0.0000%
2024-01-30,1000000.00,0.0000%,0.0000%
2024-01-31,989232.93,-1.0767%,-1.0767%
2024-02-01,998192.93,-0.1807%,0.9058%
2024-02-02,946647.94,-5.3352%,-5.1638%
2024-02-05,904917.66,-9.5082%,-4.4082%
2024-02-06,943060.76,-5.6939%,4.2151%
2024-02-07,947871.42,-5.2129%,0.5101%
2024-02-08,953529.83,-4.6470%,0.5970%
2024-02-19,955018.83,-4.4981%,0.1562%
2024-02-20,960235.72,-3.9764%,0.5463%
2024-02-21,971782.72,-2.8217%,1.2025%
2024-02-22,975807.72,-2.4192%,0.4142%
2024-02-23,976128.72,-2.3871%,0.0329%
2024-02-26,981433.72,-1.8566%,0.5435%
2024-02-27,982405.51,-1.7594%,0.0990%
2024-02-28,974131.51,-2.5868%,-0.8422%
2024-02-29,980305.51,-1.9694%,0.6338%
2024-03-01,982573.51,-1.7426%,0.2314%
2024-03-04,984150.89,-1.5849%,0.1605%
2024-03-05,984150.89,-1.5849%,0.0000%
2024-03-06,984150.89,-1.5849%,0.0000%
2024-03-07,984150.89,-1.5849%,0.0000%
2024-03-08,984150.89,-1.5849%,0.0000%
2024-03-11,984150.89,-1.5849%,0.0000%
2024-03-12,984150.89,-1.5849%,0.0000%
2024-03-13,984150.89,-1.5849%,0.0000%
2024-03-14,984150.89,-1.5849%,0.0000%
2024-03-15,984150.89,-1.5849%,0.0000%
2024-03-18,984150.89,-1.5849%,0.0000%
