日期,总资产(元),累计收益率,每日收益率
2025-01-02,100000.00,0.0000%,0.0000%
2025-01-03,100000.00,0.0000%,0.0000%
2025-01-06,99592.96,-0.4070%,-0.4070%
2025-01-07,100588.54,0.5885%,0.9996%
2025-01-08,99626.72,-0.3733%,-0.9562%
2025-01-09,99963.72,-0.0363%,0.3383%
2025-01-10,99166.72,-0.8333%,-0.7973%
2025-01-13,100691.92,0.6919%,1.5380%
2025-01-14,104186.31,4.1863%,3.4704%
2025-01-15,103898.31,3.8983%,-0.2764%
2025-01-16,105405.31,5.4053%,1.4505%
2025-01-17,106006.31,6.0063%,0.5702%
2025-01-20,105050.31,5.0503%,-0.9018%
2025-01-21,104207.31,4.2073%,-0.8025%
2025-01-22,103858.31,3.8583%,-0.3349%
2025-01-23,102879.17,2.8792%,-0.9428%
2025-01-24,103776.17,3.7762%,0.8719%
2025-01-27,102948.17,2.9482%,-0.7979%
2025-02-05,108229.17,8.2292%,5.1298%
2025-02-06,115972.17,15.9722%,7.1543%
2025-02-07,118863.17,18.8632%,2.4928%
2025-02-10,124851.17,24.8512%,5.0377%
2025-02-11,132288.17,32.2882%,5.9567%
2025-02-12,139969.66,39.9697%,5.8066%
2025-02-13,150462.66,50.4627%,7.4966%
2025-02-14,163707.66,63.7077%,8.8028%
2025-02-17,150814.66,50.8147%,-7.8756%
2025-02-18,147239.12,47.2391%,-2.3708%
2025-02-19,148137.12,48.1371%,0.6099%
2025-02-20,147547.06,47.5471%,-0.3983%
2025-02-21,146704.06,46.7041%,-0.5713%
2025-02-24,146724.36,46.7244%,0.0138%
2025-02-25,146928.60,46.9286%,0.1392%
2025-02-26,147778.11,47.7781%,0.5782%
2025-02-27,148914.11,48.9141%,0.7687%
2025-02-28,150426.11,50.4261%,1.0154%
2025-03-03,153610.11,53.6101%,2.1167%
2025-03-04,155881.11,55.8811%,1.4784%
2025-03-05,162654.11,62.6541%,4.3450%
2025-03-06,165106.11,65.1061%,1.5075%
2025-03-07,166634.11,66.6341%,0.9255%
2025-03-10,167845.11,67.8451%,0.7267%
2025-03-11,172627.11,72.6271%,2.8491%
2025-03-12,172258.11,72.2581%,-0.2138%
2025-03-13,170585.11,70.5851%,-0.9712%
2025-03-14,170505.11,70.5051%,-0.0469%
2025-03-17,172512.11,72.5121%,1.1771%
2025-03-18,173601.11,73.6011%,0.6313%
2025-03-19,171020.11,71.0201%,-1.4867%
2025-03-20,171470.43,71.4704%,0.2633%
2025-03-21,169708.43,69.7084%,-1.0276%
2025-03-24,170278.43,70.2784%,0.3359%
2025-03-25,169278.43,69.2784%,-0.5873%
2025-03-26,169905.43,69.9054%,0.3704%
2025-03-27,169431.43,69.4314%,-0.2790%
2025-03-28,169092.43,69.0924%,-0.2001%
2025-03-31,167365.10,67.3651%,-1.0215%
2025-04-01,166738.88,66.7389%,-0.3742%
2025-04-02,166052.34,66.0523%,-0.4117%
2025-04-03,164507.34,64.5073%,-0.9304%
2025-04-07,155991.63,55.9916%,-5.1765%
2025-04-08,156658.71,56.6587%,0.4276%
2025-04-09,156658.71,56.6587%,0.0000%
2025-04-10,156658.71,56.6587%,0.0000%
2025-04-11,156658.71,56.6587%,0.0000%
2025-04-14,156673.28,56.6733%,0.0093%
2025-04-15,156736.28,56.7363%,0.0402%
2025-04-16,156715.28,56.7153%,-0.0134%
2025-04-17,156974.34,56.9743%,0.1653%
2025-04-18,157997.34,57.9973%,0.6517%
2025-04-21,159728.34,59.7283%,1.0956%
2025-04-22,161991.96,61.9920%,1.4172%
2025-04-23,160489.96,60.4900%,-0.9272%
2025-04-24,161522.68,61.5227%,0.6435%
2025-04-25,161209.68,61.2097%,-0.1938%
2025-04-28,159099.68,59.0997%,-1.3089%
2025-04-29,158917.68,58.9177%,-0.1144%
2025-04-30,156860.77,56.8608%,-1.2943%
2025-05-06,162531.77,62.5318%,3.6153%
2025-05-07,162101.77,62.1018%,-0.2646%
2025-05-08,160579.77,60.5798%,-0.9389%
2025-05-09,159927.77,59.9278%,-0.4060%
2025-05-12,161329.77,61.3298%,0.8766%
2025-05-13,163595.77,63.5958%,1.4046%
2025-05-14,163379.77,63.3798%,-0.1320%
2025-05-15,160753.77,60.7538%,-1.6073%
2025-05-16,164569.77,64.5698%,2.3738%
2025-05-19,164661.77,64.6618%,0.0559%
2025-05-20,165136.77,65.1368%,0.2885%
