日期,总资产(元),累计收益率,每日收益率
2025-01-02,100000.00,0.0000%,0.0000%
2025-01-03,100000.00,0.0000%,0.0000%
2025-01-06,100057.56,0.0576%,0.0576%
2025-01-07,100497.77,0.4978%,0.4400%
2025-01-08,100208.44,0.2084%,-0.2879%
2025-01-09,99496.41,-0.5036%,-0.7105%
2025-01-10,97208.04,-2.7920%,-2.3000%
2025-01-13,97662.82,-2.3372%,0.4678%
2025-01-14,99226.27,-0.7737%,1.6009%
2025-01-15,98221.80,-1.7782%,-1.0123%
2025-01-16,99437.01,-0.5630%,1.2372%
2025-01-17,99671.57,-0.3284%,0.2359%
2025-01-20,99463.57,-0.5364%,-0.2087%
2025-01-21,98981.37,-1.0186%,-0.4848%
2025-01-22,99009.37,-0.9906%,0.0283%
2025-01-23,97653.78,-2.3462%,-1.3692%
2025-01-24,98759.78,-1.2402%,1.1326%
2025-01-27,97881.53,-2.1185%,-0.8893%
2025-02-05,100233.53,0.2335%,2.4029%
2025-02-06,102168.90,2.1689%,1.9309%
2025-02-07,103867.97,3.8680%,1.6630%
2025-02-10,105559.70,5.5597%,1.6287%
2025-02-11,106796.70,6.7967%,1.1718%
2025-02-12,108391.70,8.3917%,1.4935%
2025-02-13,109116.70,9.1167%,0.6689%
2025-02-14,110859.70,10.8597%,1.5974%
2025-02-17,107619.70,7.6197%,-2.9226%
2025-02-18,106582.59,6.5826%,-0.9637%
2025-02-19,107313.60,7.3136%,0.6859%
2025-02-20,107571.59,7.5716%,0.2404%
2025-02-21,107330.59,7.3306%,-0.2240%
2025-02-24,108149.67,8.1497%,0.7631%
2025-02-25,107727.54,7.7275%,-0.3903%
2025-02-26,108302.84,8.3028%,0.5340%
2025-02-27,108765.84,8.7658%,0.4275%
2025-02-28,107659.75,7.6597%,-1.0169%
2025-03-03,109904.53,9.9045%,2.0851%
2025-03-04,112137.97,12.1380%,2.0322%
2025-03-05,114314.83,14.3148%,1.9412%
2025-03-06,116306.83,16.3068%,1.7426%
2025-03-07,120242.83,20.2428%,3.3842%
2025-03-10,119703.53,19.7035%,-0.4485%
2025-03-11,123208.12,23.2081%,2.9277%
2025-03-12,123907.40,23.9074%,0.5676%
2025-03-13,122870.40,22.8704%,-0.8369%
2025-03-14,123432.53,23.4325%,0.4575%
2025-03-17,123722.53,23.7225%,0.2349%
2025-03-18,125128.53,25.1285%,1.1364%
2025-03-19,126131.53,26.1315%,0.8016%
2025-03-20,126302.53,26.3025%,0.1356%
2025-03-21,124423.53,24.4235%,-1.4877%
2025-03-24,122377.66,22.3777%,-1.6443%
2025-03-25,122899.22,22.8992%,0.4262%
2025-03-26,123761.22,23.7612%,0.7014%
2025-03-27,123275.18,23.2752%,-0.3927%
2025-03-28,121294.18,21.2942%,-1.6070%
2025-03-31,120593.08,20.5931%,-0.5780%
2025-04-01,119736.86,19.7369%,-0.7100%
2025-04-02,119725.37,19.7254%,-0.0096%
2025-04-03,118543.86,18.5439%,-0.9869%
2025-04-07,113367.12,13.3671%,-4.3669%
2025-04-08,112982.01,12.9820%,-0.3397%
2025-04-09,112892.01,12.8920%,-0.0797%
2025-04-10,112934.01,12.9340%,0.0372%
2025-04-11,112868.01,12.8680%,-0.0584%
2025-04-14,113057.28,13.0573%,0.1677%
2025-04-15,113483.28,13.4833%,0.3768%
2025-04-16,113521.28,13.5213%,0.0335%
2025-04-17,113209.81,13.2098%,-0.2744%
2025-04-18,113614.81,13.6148%,0.3577%
2025-04-21,116515.81,16.5158%,2.5534%
2025-04-22,119405.57,19.4056%,2.4801%
2025-04-23,117046.26,17.0463%,-1.9759%
2025-04-24,117889.80,17.8898%,0.7207%
2025-04-25,117642.80,17.6428%,-0.2095%
2025-04-28,115507.88,15.5079%,-1.8147%
2025-04-29,115926.88,15.9269%,0.3627%
2025-04-30,115163.68,15.1637%,-0.6583%
2025-05-06,118932.47,18.9325%,3.2726%
2025-05-07,118516.82,18.5168%,-0.3495%
2025-05-08,118435.17,18.4352%,-0.0689%
2025-05-09,117899.17,17.8992%,-0.4526%
2025-05-12,118451.04,18.4510%,0.4681%
2025-05-13,119108.29,19.1083%,0.5549%
2025-05-14,118738.29,18.7383%,-0.3106%
2025-05-15,117609.29,17.6093%,-0.9508%
2025-05-16,121283.21,21.2832%,3.1238%
2025-05-19,120923.78,20.9238%,-0.2964%
