日期,总资产(元),累计收益率,每日收益率
2024-01-02,1000000.00,0.0000%,0.0000%
2024-01-03,1000000.00,0.0000%,0.0000%
2024-01-04,1006152.57,0.6153%,0.6153%
2024-01-05,1007785.95,0.7786%,0.1623%
2024-01-08,1004882.82,0.4883%,-0.2881%
2024-01-09,1011622.41,1.1622%,0.6707%
2024-01-10,1004113.45,0.4113%,-0.7423%
2024-01-11,998270.32,-0.1730%,-0.5819%
2024-01-12,987912.13,-1.2088%,-1.0376%
2024-01-15,976725.65,-2.3274%,-1.1323%
2024-01-16,961177.93,-3.8822%,-1.5918%
2024-01-17,953972.34,-4.6028%,-0.7497%
2024-01-18,949527.28,-5.0473%,-0.4660%
2024-01-19,955611.28,-4.4389%,0.6407%
2024-01-22,945783.28,-5.4217%,-1.0285%
2024-01-23,943860.77,-5.6139%,-0.2033%
2024-01-24,943860.77,-5.6139%,0.0000%
2024-01-25,943860.77,-5.6139%,0.0000%
2024-01-26,945339.71,-5.4660%,0.1567%
2024-01-29,921335.96,-7.8664%,-2.5392%
2024-01-30,911994.03,-8.8006%,-1.0140%
2024-01-31,892428.03,-10.7572%,-2.1454%
2024-02-01,895260.28,-10.4740%,0.3174%
2024-02-02,889374.28,-11.0626%,-0.6575%
2024-02-05,883292.62,-11.6707%,-0.6838%
2024-02-06,883292.62,-11.6707%,0.0000%
2024-02-07,912310.04,-8.7690%,3.2851%
2024-02-08,910888.04,-8.9112%,-0.1559%
2024-02-19,924318.04,-7.5682%,1.4744%
2024-02-20,952281.50,-4.7718%,3.0253%
2024-02-21,951153.50,-4.8847%,-0.1185%
2024-02-22,963722.89,-3.6277%,1.3215%
2024-02-23,981613.24,-1.8387%,1.8564%
2024-02-26,990611.24,-0.9389%,0.9167%
2024-02-27,1003068.91,0.3069%,1.2576%
2024-02-28,973827.47,-2.6173%,-2.9152%
2024-02-29,976215.33,-2.3785%,0.2452%
2024-03-01,989308.89,-1.0691%,1.3413%
2024-03-04,982818.41,-1.7182%,-0.6561%
2024-03-05,976482.20,-2.3518%,-0.6447%
2024-03-06,979429.87,-2.0570%,0.3019%
2024-03-07,987872.43,-1.2128%,0.8620%
2024-03-08,986060.65,-1.3939%,-0.1834%
2024-03-11,984616.88,-1.5383%,-0.1464%
2024-03-12,973853.11,-2.6147%,-1.0932%
2024-03-13,970046.19,-2.9954%,-0.3909%
2024-03-14,966564.11,-3.3436%,-0.3590%
2024-03-15,980024.79,-1.9975%,1.3926%
