日期,总资产(元),累计收益率,每日收益率
2025-01-02,200000.00,0.0000%,0.0000%
2025-01-03,200000.00,0.0000%,0.0000%
2025-01-06,197837.23,-1.0814%,-1.0814%
2025-01-07,200574.18,0.2871%,1.3834%
2025-01-08,198822.73,-0.5886%,-0.8732%
2025-01-09,198349.13,-0.8254%,-0.2382%
2025-01-10,193109.03,-3.4455%,-2.6419%
2025-01-13,192099.30,-3.9503%,-0.5229%
2025-01-14,193162.75,-3.4186%,0.5536%
2025-01-15,192210.61,-3.8947%,-0.4929%
2025-01-16,193082.61,-3.4587%,0.4537%
2025-01-17,195329.25,-2.3354%,1.1636%
2025-01-20,199387.25,-0.3064%,2.0775%
2025-01-21,199738.80,-0.1306%,0.1763%
2025-01-22,200725.40,0.3627%,0.4939%
2025-01-23,197564.40,-1.2178%,-1.5748%
2025-01-24,198801.02,-0.5995%,0.6259%
2025-01-27,191395.02,-4.3025%,-3.7253%
2025-02-05,188711.81,-5.6441%,-1.4019%
2025-02-06,189855.55,-5.0722%,0.6061%
2025-02-07,190484.55,-4.7577%,0.3313%
2025-02-10,190707.55,-4.6462%,0.1171%
2025-02-11,190852.55,-4.5737%,0.0760%
2025-02-12,192160.52,-3.9197%,0.6853%
2025-02-13,189564.52,-5.2177%,-1.3510%
2025-02-14,191280.47,-4.3598%,0.9052%
2025-02-17,191806.47,-4.0968%,0.2750%
2025-02-18,189642.47,-5.1788%,-1.1282%
2025-02-19,191708.08,-4.1460%,1.0892%
2025-02-20,193010.08,-3.4950%,0.6792%
2025-02-21,196202.61,-1.8987%,1.6541%
2025-02-24,192541.61,-3.7292%,-1.8659%
2025-02-25,190106.07,-4.9470%,-1.2649%
2025-02-26,192268.97,-3.8655%,1.1377%
2025-02-27,190670.97,-4.6645%,-0.8311%
2025-02-28,187121.35,-6.4393%,-1.8616%
2025-03-03,185952.83,-7.0236%,-0.6245%
2025-03-04,185369.47,-7.3153%,-0.3137%
2025-03-05,185369.47,-7.3153%,0.0000%
2025-03-06,185369.47,-7.3153%,0.0000%
2025-03-07,185369.47,-7.3153%,0.0000%
2025-03-10,185369.47,-7.3153%,0.0000%
2025-03-11,185942.41,-7.0288%,0.3091%
2025-03-12,186677.41,-6.6613%,0.3953%
2025-03-13,187622.41,-6.1888%,0.5062%
2025-03-14,189442.41,-5.2788%,0.9700%
2025-03-17,188497.41,-5.7513%,-0.4988%
2025-03-18,190422.41,-4.7888%,1.0212%
2025-03-19,191437.41,-4.2813%,0.5330%
2025-03-20,191857.41,-4.0713%,0.2194%
2025-03-21,189757.41,-5.1213%,-1.0946%
2025-03-24,191437.41,-4.2813%,0.8853%
2025-03-25,192662.41,-3.6688%,0.6399%
2025-03-26,191962.41,-4.0188%,-0.3633%
2025-03-27,190772.41,-4.6138%,-0.6199%
2025-03-28,191896.92,-4.0515%,0.5895%
2025-03-31,190316.92,-4.8415%,-0.8234%
2025-04-01,191136.92,-4.4315%,0.4309%
2025-04-02,189676.92,-5.1615%,-0.7639%
2025-04-03,185676.92,-7.1615%,-2.1088%
2025-04-07,173976.92,-13.0115%,-6.3013%
2025-04-08,174164.84,-12.9176%,0.1080%
2025-04-09,174164.84,-12.9176%,0.0000%
2025-04-10,174164.84,-12.9176%,0.0000%
2025-04-11,174164.84,-12.9176%,0.0000%
2025-04-14,174164.84,-12.9176%,0.0000%
2025-04-15,174164.84,-12.9176%,0.0000%
2025-04-16,173584.75,-13.2076%,-0.3331%
2025-04-17,173816.75,-13.0916%,0.1337%
2025-04-18,173236.75,-13.3816%,-0.3337%
2025-04-21,176078.75,-11.9606%,1.6405%
2025-04-22,175788.75,-12.1056%,-0.1647%
2025-04-23,173729.75,-13.1351%,-1.1713%
2025-04-24,173381.75,-13.3091%,-0.2003%
2025-04-25,173323.75,-13.3381%,-0.0335%
2025-04-28,173352.75,-13.3236%,0.0167%
2025-04-29,173265.75,-13.3671%,-0.0502%
2025-04-30,172772.75,-13.6136%,-0.2845%
2025-05-06,173840.83,-13.0796%,0.6182%
2025-05-07,174381.83,-12.8091%,0.3112%
2025-05-08,173655.06,-13.1725%,-0.4168%
2025-05-09,172484.06,-13.7580%,-0.6743%
2025-05-12,173078.06,-13.4610%,0.3444%
2025-05-13,172619.21,-13.6904%,-0.2651%
2025-05-14,172650.21,-13.6749%,0.0180%
2025-05-15,170156.21,-14.9219%,-1.4445%
2025-05-16,170416.21,-14.7919%,0.1528%
2025-05-19,170372.21,-14.8139%,-0.0258%
2025-05-20,170455.21,-14.7724%,0.0487%
2025-05-21,171867.21,-14.0664%,0.8284%
2025-05-22,171278.62,-14.3607%,-0.3425%
2025-05-23,171155.40,-14.4223%,-0.0719%
2025-05-26,171434.40,-14.2828%,0.1630%
2025-05-27,169048.40,-15.4758%,-1.3918%
2025-05-28,169350.40,-15.3248%,0.1786%
2025-05-29,169600.40,-15.1998%,0.1476%
2025-05-30,168859.40,-15.5703%,-0.4369%
2025-06-03,169768.40,-15.1158%,0.5383%
2025-06-04,170275.40,-14.8623%,0.2986%
2025-06-05,170584.40,-14.7078%,0.1815%
2025-06-06,171596.40,-14.2018%,0.5933%
2025-06-09,171307.40,-14.3463%,-0.1684%
2025-06-10,171757.40,-14.1213%,0.2627%
2025-06-11,172834.40,-13.5828%,0.6270%
2025-06-12,175563.40,-12.2183%,1.5790%
2025-06-13,175219.69,-12.3902%,-0.1958%
2025-06-16,175103.69,-12.4482%,-0.0662%
2025-06-17,174693.69,-12.6532%,-0.2341%
2025-06-18,175476.69,-12.2617%,0.4482%
2025-06-19,172974.69,-13.5127%,-1.4258%
2025-06-20,172485.36,-13.7573%,-0.2829%
2025-06-23,174012.36,-12.9938%,0.8853%
2025-06-24,176313.36,-11.8433%,1.3223%
2025-06-25,178461.36,-10.7693%,1.2183%
2025-06-26,177281.36,-11.3593%,-0.6612%
2025-06-27,180702.36,-9.6488%,1.9297%
2025-06-30,181233.36,-9.3833%,0.2939%
2025-07-01,182260.36,-8.8698%,0.5667%
2025-07-02,181597.36,-9.2013%,-0.3638%
2025-07-03,182725.36,-8.6373%,0.6212%
2025-07-04,180464.36,-9.7678%,-1.2374%
2025-07-07,179317.36,-10.3413%,-0.6356%
2025-07-08,182493.36,-8.7533%,1.7712%
2025-07-09,180759.36,-9.6203%,-0.9502%
2025-07-10,181742.36,-9.1288%,0.5438%
2025-07-11,181423.01,-9.2885%,-0.1757%
2025-07-14,181432.01,-9.2840%,0.0050%
2025-07-15,182464.01,-8.7680%,0.5688%
2025-07-16,181812.01,-9.0940%,-0.3573%
2025-07-17,182647.01,-8.6765%,0.4593%
2025-07-18,182297.01,-8.8515%,-0.1916%
2025-07-21,183197.01,-8.4015%,0.4937%
2025-07-22,185285.01,-7.3575%,1.1398%
2025-07-23,184341.01,-7.8295%,-0.5095%
2025-07-24,185662.01,-7.1690%,0.7166%
2025-07-25,184563.01,-7.7185%,-0.5919%
2025-07-28,185262.01,-7.3690%,0.3787%
2025-07-29,186027.01,-6.9865%,0.4129%
2025-07-30,185546.01,-7.2270%,-0.2586%
2025-07-31,182388.81,-8.8056%,-1.7016%
2025-08-01,183343.81,-8.3281%,0.5236%
2025-08-04,184704.81,-7.6476%,0.7423%
2025-08-05,185794.74,-7.1026%,0.5901%
2025-08-06,187143.36,-6.4283%,0.7259%
2025-08-07,185861.36,-7.0693%,-0.6850%
2025-08-08,188571.65,-5.7142%,1.4582%
2025-08-11,190102.08,-4.9490%,0.8116%
2025-08-12,191590.91,-4.2045%,0.7832%
2025-08-13,194992.91,-2.5035%,1.7757%
2025-08-14,193304.57,-3.3477%,-0.8658%
2025-08-15,196943.57,-1.5282%,1.8825%
2025-08-18,197085.57,-1.4572%,0.0721%
2025-08-19,196157.57,-1.9212%,-0.4709%
2025-08-20,198103.57,-0.9482%,0.9921%
2025-08-21,197806.57,-1.0967%,-0.1499%
2025-08-22,204959.57,2.4798%,3.6162%
2025-08-25,212678.57,6.3393%,3.7661%
2025-08-26,210618.57,5.3093%,-0.9686%
2025-08-27,211401.57,5.7008%,0.3718%
2025-08-28,216437.57,8.2188%,2.3822%
2025-08-29,219399.57,9.6998%,1.3685%
2025-09-01,229417.57,14.7088%,4.5661%
2025-09-02,227888.57,13.9443%,-0.6665%
2025-09-03,233279.57,16.6398%,2.3656%
2025-09-04,223370.57,11.6853%,-4.2477%
2025-09-05,234390.06,17.1950%,4.9333%
2025-09-08,233219.06,16.6095%,-0.4996%
2025-09-09,231974.06,15.9870%,-0.5338%
2025-09-10,231313.06,15.6565%,-0.2849%
2025-09-11,236466.06,18.2330%,2.2277%
2025-09-12,234924.06,17.4620%,-0.6521%
2025-09-15,235589.06,17.7945%,0.2831%
2025-09-16,236523.06,18.2615%,0.3965%
2025-09-17,236070.06,18.0350%,-0.1915%
2025-09-18,234809.06,17.4045%,-0.5342%
2025-09-19,234409.06,17.2045%,-0.1704%
2025-09-22,235436.06,17.7180%,0.4381%
2025-09-23,239265.06,19.6325%,1.6263%
2025-09-24,243848.06,21.9240%,1.9154%
2025-09-25,249990.06,24.9950%,2.5188%
