日期,总资产(元),累计收益率,每日收益率
2024-01-02,1000000.00,0.0000%,0.0000%
2024-01-03,1000000.00,0.0000%,0.0000%
2024-01-04,991213.67,-0.8786%,-0.8786%
2024-01-05,985447.43,-1.4553%,-0.5817%
2024-01-08,979368.69,-2.0631%,-0.6169%
2024-01-09,979436.37,-2.0564%,0.0069%
2024-01-10,976989.39,-2.3011%,-0.2498%
2024-01-11,979540.18,-2.0460%,0.2611%
2024-01-12,975406.87,-2.4593%,-0.4220%
2024-01-15,969188.87,-3.0811%,-0.6375%
2024-01-16,973858.37,-2.6142%,0.4818%
2024-01-17,949045.43,-5.0955%,-2.5479%
2024-01-18,967011.58,-3.2988%,1.8931%
2024-01-19,933901.51,-6.6098%,-3.4240%
2024-01-22,928291.71,-7.1708%,-0.6007%
2024-01-23,938990.69,-6.1009%,1.1525%
2024-01-24,931637.83,-6.8362%,-0.7831%
2024-01-25,951847.59,-4.8152%,2.1693%
2024-01-26,914297.59,-8.5702%,-3.9450%
2024-01-29,855644.34,-14.4356%,-6.4151%
2024-01-30,846963.70,-15.3036%,-1.0145%
2024-01-31,846832.70,-15.3167%,-0.0155%
2024-02-01,847684.70,-15.2315%,0.1006%
2024-02-02,846615.70,-15.3384%,-0.1261%
2024-02-05,848486.70,-15.1513%,0.2210%
2024-02-06,852110.74,-14.7889%,0.4271%
2024-02-07,853991.15,-14.6009%,0.2207%
2024-02-08,867322.93,-13.2677%,1.5611%
2024-02-19,915050.75,-8.4949%,5.5029%
2024-02-20,900041.88,-9.9958%,-1.6402%
2024-02-21,886723.77,-11.3276%,-1.4797%
2024-02-22,902301.70,-9.7698%,1.7568%
2024-02-23,911267.40,-8.8733%,0.9936%
2024-02-26,895600.49,-10.4400%,-1.7192%
2024-02-27,913714.48,-8.6286%,2.0226%
2024-02-28,890281.78,-10.9718%,-2.5646%
2024-02-29,913775.11,-8.6225%,2.6389%
2024-03-01,929556.52,-7.0443%,1.7271%
2024-03-04,949152.21,-5.0848%,2.1081%
2024-03-05,945374.78,-5.4625%,-0.3980%
2024-03-06,966831.78,-3.3168%,2.2697%
2024-03-07,959881.78,-4.0118%,-0.7188%
2024-03-08,976955.78,-2.3044%,1.7788%
2024-03-11,1003281.76,0.3282%,2.6947%
2024-03-12,988726.80,-1.1273%,-1.4507%
2024-03-13,987321.80,-1.2678%,-0.1421%
2024-03-14,985800.05,-1.4200%,-0.1541%
2024-03-15,996944.05,-0.3056%,1.1305%
