日期,总资产(元),累计收益率,每日收益率
2022-01-04,1000000.00,0.0000%,0.0000%
2022-01-05,1000000.00,0.0000%,0.0000%
2022-01-06,986000.66,-1.3999%,-1.3999%
2022-01-07,999299.12,-0.0701%,1.3487%
2022-01-10,999505.12,-0.0495%,0.0206%
2022-01-11,1001107.12,0.1107%,0.1603%
2022-01-12,1000480.12,0.0480%,-0.0626%
2022-01-13,994549.12,-0.5451%,-0.5928%
2022-01-14,970884.34,-2.9116%,-2.3794%
2022-01-17,972697.92,-2.7302%,0.1868%
2022-01-18,973337.62,-2.6662%,0.0658%
2022-01-19,977800.29,-2.2200%,0.4585%
2022-01-20,1002658.29,0.2658%,2.5422%
2022-01-21,1005382.53,0.5383%,0.2717%
2022-01-24,1005480.53,0.5481%,0.0097%
2022-01-25,980891.53,-1.9108%,-2.4455%
2022-01-26,984858.53,-1.5141%,0.4044%
2022-01-27,977798.82,-2.2201%,-0.7168%
2022-01-28,957057.82,-4.2942%,-2.1212%
2022-02-07,981006.10,-1.8994%,2.5023%
2022-02-08,977202.10,-2.2798%,-0.3878%
2022-02-09,974603.67,-2.5396%,-0.2659%
2022-02-10,980390.67,-1.9609%,0.5938%
2022-02-11,994400.67,-0.5599%,1.4290%
2022-02-14,975407.67,-2.4592%,-1.9100%
2022-02-15,965463.67,-3.4536%,-1.0195%
2022-02-16,974188.67,-2.5811%,0.9037%
2022-02-17,976180.67,-2.3819%,0.2045%
2022-02-18,984385.67,-1.5614%,0.8405%
2022-02-21,980665.67,-1.9334%,-0.3779%
2022-02-22,971818.67,-2.8181%,-0.9021%
2022-02-23,968161.67,-3.1838%,-0.3763%
2022-02-24,955813.67,-4.4186%,-1.2754%
2022-02-25,954739.09,-4.5261%,-0.1124%
2022-02-28,954666.09,-4.5334%,-0.0076%
2022-03-01,957878.09,-4.2122%,0.3365%
2022-03-02,949411.34,-5.0589%,-0.8839%
2022-03-03,942331.24,-5.7669%,-0.7457%
2022-03-04,946883.24,-5.3117%,0.4831%
2022-03-07,936443.24,-6.3557%,-1.1026%
2022-03-08,935911.86,-6.4088%,-0.0567%
2022-03-09,935911.86,-6.4088%,0.0000%
2022-03-10,935911.86,-6.4088%,0.0000%
2022-03-11,935911.86,-6.4088%,0.0000%
2022-03-14,935911.86,-6.4088%,0.0000%
2022-03-15,935911.86,-6.4088%,0.0000%
2022-03-16,935911.86,-6.4088%,0.0000%
2022-03-17,935911.86,-6.4088%,0.0000%
2022-03-18,935911.86,-6.4088%,0.0000%
2022-03-21,935911.86,-6.4088%,0.0000%
2022-03-22,935911.86,-6.4088%,0.0000%
2022-03-23,935911.86,-6.4088%,0.0000%
2022-03-24,935911.86,-6.4088%,0.0000%
2022-03-25,921515.99,-7.8484%,-1.5382%
2022-03-28,920189.31,-7.9811%,-0.1440%
2022-03-29,920189.31,-7.9811%,0.0000%
2022-03-30,920189.31,-7.9811%,0.0000%
2022-03-31,920189.31,-7.9811%,0.0000%
2022-04-01,920189.31,-7.9811%,0.0000%
2022-04-06,920189.31,-7.9811%,0.0000%
2022-04-07,920189.31,-7.9811%,0.0000%
2022-04-08,920189.31,-7.9811%,0.0000%
2022-04-11,911377.45,-8.8623%,-0.9576%
2022-04-12,909361.96,-9.0638%,-0.2211%
2022-04-13,909361.96,-9.0638%,0.0000%
2022-04-14,914052.95,-8.5947%,0.5159%
2022-04-15,924672.95,-7.5327%,1.1619%
2022-04-18,920208.95,-7.9791%,-0.4828%
2022-04-19,913431.95,-8.6568%,-0.7365%
2022-04-20,887682.95,-11.2317%,-2.8189%
2022-04-21,885564.48,-11.4436%,-0.2387%
2022-04-22,885564.48,-11.4436%,0.0000%
