日期,总资产(元),累计收益率,每日收益率
2025-01-02,200000.00,0.0000%,0.0000%
2025-01-03,200000.00,0.0000%,0.0000%
2025-01-06,198127.79,-0.9361%,-0.9361%
2025-01-07,202131.91,1.0660%,2.0210%
2025-01-08,200448.90,0.2244%,-0.8326%
2025-01-09,200403.90,0.2019%,-0.0224%
2025-01-10,195283.84,-2.3581%,-2.5549%
2025-01-13,194055.04,-2.9725%,-0.6292%
2025-01-14,195588.83,-2.2056%,0.7904%
2025-01-15,192496.02,-3.7520%,-1.5813%
2025-01-16,193981.12,-3.0094%,0.7715%
2025-01-17,195139.88,-2.4301%,0.5974%
2025-01-20,198569.74,-0.7151%,1.7576%
2025-01-21,199621.69,-0.1892%,0.5298%
2025-01-22,197129.52,-1.4352%,-1.2484%
2025-01-23,195396.41,-2.3018%,-0.8792%
2025-01-24,197625.82,-1.1871%,1.1410%
2025-01-27,192084.23,-3.9579%,-2.8041%
2025-02-05,191704.21,-4.1479%,-0.1978%
2025-02-06,194819.18,-2.5904%,1.6249%
2025-02-07,196586.78,-1.7066%,0.9073%
2025-02-10,196938.91,-1.5305%,0.1791%
2025-02-11,196071.57,-1.9642%,-0.4404%
2025-02-12,196875.57,-1.5622%,0.4101%
2025-02-13,195041.57,-2.4792%,-0.9316%
2025-02-14,195498.99,-2.2505%,0.2345%
2025-02-17,194337.59,-2.8312%,-0.5941%
2025-02-18,190945.27,-4.5274%,-1.7456%
2025-02-19,192542.27,-3.7289%,0.8364%
2025-02-20,192274.27,-3.8629%,-0.1392%
2025-02-21,194509.27,-2.7454%,1.1624%
2025-02-24,198479.33,-0.7603%,2.0411%
2025-02-25,196020.70,-1.9896%,-1.2387%
2025-02-26,196970.84,-1.5146%,0.4847%
2025-02-27,196384.15,-1.8079%,-0.2979%
2025-02-28,192888.15,-3.5559%,-1.7802%
2025-03-03,193103.65,-3.4482%,0.1117%
2025-03-04,192419.96,-3.7900%,-0.3541%
2025-03-05,192156.96,-3.9215%,-0.1367%
2025-03-06,193166.58,-3.4167%,0.5254%
2025-03-07,193266.58,-3.3667%,0.0518%
2025-03-10,193971.73,-3.0141%,0.3649%
2025-03-11,195134.61,-2.4327%,0.5995%
2025-03-12,195934.61,-2.0327%,0.4100%
2025-03-13,196756.61,-1.6217%,0.4195%
2025-03-14,198715.33,-0.6423%,0.9955%
2025-03-17,198215.16,-0.8924%,-0.2517%
2025-03-18,200480.31,0.2402%,1.1428%
2025-03-19,200659.31,0.3297%,0.0893%
2025-03-20,199889.28,-0.0554%,-0.3837%
2025-03-21,197895.28,-1.0524%,-0.9976%
2025-03-24,198152.44,-0.9238%,0.1299%
2025-03-25,199974.47,-0.0128%,0.9195%
2025-03-26,199167.47,-0.4163%,-0.4036%
2025-03-27,194547.47,-2.7263%,-2.3197%
2025-03-28,190838.26,-4.5809%,-1.9066%
2025-03-31,189317.63,-5.3412%,-0.7968%
2025-04-01,190962.73,-4.5186%,0.8690%
2025-04-02,190752.54,-4.6237%,-0.1101%
2025-04-03,189963.88,-5.0181%,-0.4134%
2025-04-07,180770.61,-9.6147%,-4.8395%
2025-04-08,180677.46,-9.6613%,-0.0515%
2025-04-09,180581.46,-9.7093%,-0.0531%
2025-04-10,180637.46,-9.6813%,0.0310%
2025-04-11,179036.07,-10.4820%,-0.8865%
2025-04-14,181032.07,-9.4840%,1.1149%
2025-04-15,179452.07,-10.2740%,-0.8728%
2025-04-16,179397.01,-10.3015%,-0.0307%
2025-04-17,178407.56,-10.7962%,-0.5515%
2025-04-18,177926.56,-11.0367%,-0.2696%
2025-04-21,182645.56,-8.6772%,2.6522%
2025-04-22,186775.83,-6.6121%,2.2614%
2025-04-23,184082.16,-7.9589%,-1.4422%
2025-04-24,181069.16,-9.4654%,-1.6368%
2025-04-25,181462.16,-9.2689%,0.2170%
2025-04-28,180892.65,-9.5537%,-0.3138%
2025-04-29,180923.93,-9.5380%,0.0173%
2025-04-30,179729.36,-10.1353%,-0.6603%
2025-05-06,183102.70,-8.4486%,1.8769%
2025-05-07,183973.70,-8.0131%,0.4757%
2025-05-08,183356.37,-8.3218%,-0.3356%
2025-05-09,182020.71,-8.9896%,-0.7285%
2025-05-12,183290.74,-8.3546%,0.6977%
2025-05-13,182952.70,-8.5236%,-0.1844%
2025-05-14,184220.70,-7.8896%,0.6931%
2025-05-15,182729.36,-8.6353%,-0.8095%
2025-05-16,183948.21,-8.0259%,0.6670%
2025-05-19,183505.21,-8.2474%,-0.2408%
2025-05-20,183564.31,-8.2178%,0.0322%
2025-05-21,184862.31,-7.5688%,0.7071%
2025-05-22,184076.04,-7.9620%,-0.4253%
2025-05-23,182623.09,-8.6885%,-0.7893%
2025-05-26,184118.71,-7.9406%,0.8190%
2025-05-27,182072.84,-8.9636%,-1.1112%
2025-05-28,182483.59,-8.7582%,0.2256%
2025-05-29,183686.91,-8.1565%,0.6594%
2025-05-30,181511.33,-9.2443%,-1.1844%
2025-06-03,184855.33,-7.5723%,1.8423%
2025-06-04,186888.33,-6.5558%,1.0998%
2025-06-05,187080.54,-6.4597%,0.1028%
2025-06-06,187655.44,-6.1723%,0.3073%
2025-06-09,189649.44,-5.1753%,1.0626%
2025-06-10,188630.16,-5.6849%,-0.5375%
2025-06-11,190437.16,-4.7814%,0.9580%
2025-06-12,192202.16,-3.8989%,0.9268%
2025-06-13,191679.86,-4.1601%,-0.2717%
2025-06-16,193840.07,-3.0800%,1.1270%
2025-06-17,194393.07,-2.8035%,0.2853%
2025-06-18,194546.07,-2.7270%,0.0787%
2025-06-19,190719.07,-4.6405%,-1.9671%
2025-06-20,190443.04,-4.7785%,-0.1447%
2025-06-23,192865.87,-3.5671%,1.2722%
2025-06-24,196503.16,-1.7484%,1.8859%
2025-06-25,198989.19,-0.5054%,1.2651%
2025-06-26,198058.19,-0.9709%,-0.4679%
2025-06-27,200788.24,0.3941%,1.3784%
2025-06-30,202993.24,1.4966%,1.0982%
2025-07-01,204467.24,2.2336%,0.7261%
2025-07-02,207020.36,3.5102%,1.2487%
2025-07-03,209023.31,4.5117%,0.9675%
2025-07-04,207871.31,3.9357%,-0.5511%
2025-07-07,208022.31,4.0112%,0.0726%
2025-07-08,213296.31,6.6482%,2.5353%
2025-07-09,211254.25,5.6271%,-0.9574%
2025-07-10,210762.25,5.3811%,-0.2329%
2025-07-11,209837.25,4.9186%,-0.4389%
2025-07-14,209201.17,4.6006%,-0.3031%
2025-07-15,209489.17,4.7446%,0.1377%
2025-07-16,208839.12,4.4196%,-0.3103%
2025-07-17,211091.81,5.5459%,1.0787%
2025-07-18,211586.81,5.7934%,0.2345%
2025-07-21,213566.81,6.7834%,0.9358%
2025-07-22,214962.81,7.4814%,0.6537%
2025-07-23,213393.31,6.6967%,-0.7301%
2025-07-24,215444.31,7.7222%,0.9611%
2025-07-25,213797.31,6.8987%,-0.7645%
2025-07-28,214505.18,7.2526%,0.3311%
2025-07-29,215566.18,7.7831%,0.4946%
2025-07-30,215936.51,7.9683%,0.1718%
2025-07-31,212837.18,6.4186%,-1.4353%
2025-08-01,210715.28,5.3576%,-0.9970%
2025-08-04,213139.89,6.5699%,1.1507%
2025-08-05,214800.89,7.4004%,0.7793%
2025-08-06,216991.79,8.4959%,1.0200%
2025-08-07,218147.79,9.0739%,0.5327%
2025-08-08,218296.25,9.1481%,0.0681%
2025-08-11,220525.17,10.2626%,1.0211%
2025-08-12,223170.79,11.5854%,1.1997%
2025-08-13,227139.80,13.5699%,1.7785%
2025-08-14,225012.80,12.5064%,-0.9364%
2025-08-15,230158.80,15.0794%,2.2870%
2025-08-18,230202.10,15.1010%,0.0188%
2025-08-19,230644.61,15.3223%,0.1922%
2025-08-20,232614.61,16.3073%,0.8541%
2025-08-21,232661.61,16.3308%,0.0202%
2025-08-22,237625.42,18.8127%,2.1335%
2025-08-25,246401.42,23.2007%,3.6932%
2025-08-26,247008.42,23.5042%,0.2463%
2025-08-27,245719.42,22.8597%,-0.5218%
2025-08-28,251439.42,25.7197%,2.3279%
2025-08-29,257973.42,28.9867%,2.5986%
2025-09-01,268087.42,34.0437%,3.9206%
2025-09-02,261400.40,30.7002%,-2.4943%
2025-09-03,260911.56,30.4558%,-0.1870%
2025-09-04,253665.59,26.8328%,-2.7772%
2025-09-05,261188.86,30.5944%,2.9658%
2025-09-08,258054.86,29.0274%,-1.1999%
2025-09-09,257993.83,28.9969%,-0.0237%
2025-09-10,257864.30,28.9321%,-0.0502%
2025-09-11,259808.42,29.9042%,0.7539%
2025-09-12,259875.42,29.9377%,0.0258%
2025-09-15,260039.93,30.0200%,0.0633%
2025-09-16,258242.93,29.1215%,-0.6910%
2025-09-17,257507.87,28.7539%,-0.2846%
2025-09-18,255353.18,27.6766%,-0.8367%
2025-09-19,255597.40,27.7987%,0.0956%
2025-09-22,255177.40,27.5887%,-0.1643%
2025-09-23,255979.45,27.9897%,0.3143%
2025-09-24,257598.08,28.7990%,0.6323%
2025-09-25,260952.11,30.4761%,1.3020%
2025-09-26,259946.11,29.9731%,-0.3855%
