日期,总资产(元),累计收益率,每日收益率
2022-01-04,1000000.00,0.0000%,0.0000%
2022-01-05,1000000.00,0.0000%,0.0000%
2022-01-06,1000000.00,0.0000%,0.0000%
2022-01-07,1000000.00,0.0000%,0.0000%
2022-01-10,1000000.00,0.0000%,0.0000%
2022-01-11,1000000.00,0.0000%,0.0000%
2022-01-12,1000000.00,0.0000%,0.0000%
2022-01-13,1000000.00,0.0000%,0.0000%
2022-01-14,1000000.00,0.0000%,0.0000%
2022-01-17,1000000.00,0.0000%,0.0000%
2022-01-18,1000000.00,0.0000%,0.0000%
2022-01-19,1000000.00,0.0000%,0.0000%
2022-01-20,1000000.00,0.0000%,0.0000%
2022-01-21,1000000.00,0.0000%,0.0000%
2022-01-24,1000000.00,0.0000%,0.0000%
2022-01-25,1000000.00,0.0000%,0.0000%
2022-01-26,1000000.00,0.0000%,0.0000%
2022-01-27,1000000.00,0.0000%,0.0000%
2022-01-28,1000000.00,0.0000%,0.0000%
2022-02-07,1000000.00,0.0000%,0.0000%
2022-02-08,1000000.00,0.0000%,0.0000%
2022-02-09,988079.40,-1.1921%,-1.1921%
2022-02-10,1012207.40,1.2207%,2.4419%
2022-02-11,1028161.80,2.8162%,1.5762%
2022-02-14,1007089.35,0.7089%,-2.0495%
2022-02-15,987103.35,-1.2897%,-1.9845%
2022-02-16,994327.35,-0.5673%,0.7318%
2022-02-17,997178.35,-0.2822%,0.2867%
2022-02-18,1013077.35,1.3077%,1.5944%
2022-02-21,1023415.35,2.3415%,1.0205%
2022-02-22,1020516.35,2.0516%,-0.2833%
2022-02-23,995750.35,-0.4250%,-2.4268%
2022-02-24,986229.35,-1.3771%,-0.9562%
2022-02-25,966692.15,-3.3308%,-1.9810%
2022-02-28,963141.81,-3.6858%,-0.3673%
2022-03-01,963141.81,-3.6858%,0.0000%
2022-03-02,963141.81,-3.6858%,0.0000%
2022-03-03,963141.81,-3.6858%,0.0000%
2022-03-04,963141.81,-3.6858%,0.0000%
2022-03-07,963141.81,-3.6858%,0.0000%
2022-03-08,963141.81,-3.6858%,0.0000%
2022-03-09,963141.81,-3.6858%,0.0000%
2022-03-10,963141.81,-3.6858%,0.0000%
2022-03-11,963141.81,-3.6858%,0.0000%
2022-03-14,963141.81,-3.6858%,0.0000%
2022-03-15,963141.81,-3.6858%,0.0000%
2022-03-16,963141.81,-3.6858%,0.0000%
2022-03-17,953516.10,-4.6484%,-0.9994%
2022-03-18,953420.10,-4.6580%,-0.0101%
2022-03-21,956552.10,-4.3448%,0.3285%
2022-03-22,949208.10,-5.0792%,-0.7678%
2022-03-23,944888.10,-5.5112%,-0.4551%
2022-03-24,941876.10,-5.8124%,-0.3188%
2022-03-25,932096.10,-6.7904%,-1.0384%
2022-03-28,929432.10,-7.0568%,-0.2858%
2022-03-29,944278.35,-5.5722%,1.5973%
2022-03-30,928423.35,-7.1577%,-1.6791%
2022-03-31,939597.35,-6.0403%,1.2035%
2022-04-01,935973.35,-6.4027%,-0.3857%
2022-04-06,930990.35,-6.9010%,-0.5324%
2022-04-07,939748.35,-6.0252%,0.9407%
2022-04-08,951677.35,-4.8323%,1.2694%
2022-04-11,962700.35,-3.7300%,1.1583%
2022-04-12,957415.35,-4.2585%,-0.5490%
2022-04-13,973119.35,-2.6881%,1.6402%
2022-04-14,977498.35,-2.2502%,0.4500%
2022-04-15,958623.35,-4.1377%,-1.9309%
2022-04-18,942617.35,-5.7383%,-1.6697%
2022-04-19,955150.35,-4.4850%,1.3296%
2022-04-20,936426.35,-6.3574%,-1.9603%
2022-04-21,931292.35,-6.8708%,-0.5483%
2022-04-22,938389.35,-6.1611%,0.7621%
