日期,总资产(元),累计收益率,每日收益率
2024-08-01,1000000.00,0.0000%,0.0000%
2024-08-02,1000000.00,0.0000%,0.0000%
2024-08-05,1001582.47,0.1582%,0.1582%
2024-08-06,1002801.94,0.2802%,0.1218%
2024-08-07,1003979.94,0.3980%,0.1175%
2024-08-08,1013733.94,1.3734%,0.9715%
2024-08-09,1008565.94,0.8566%,-0.5098%
2024-08-12,1009848.94,0.9849%,0.1272%
2024-08-13,997754.94,-0.2245%,-1.1976%
2024-08-14,988548.94,-1.1451%,-0.9227%
2024-08-15,994800.07,-0.5200%,0.6324%
2024-08-16,993273.40,-0.6727%,-0.1535%
2024-08-19,992918.83,-0.7081%,-0.0357%
2024-08-20,991162.53,-0.8837%,-0.1769%
2024-08-21,989843.53,-1.0156%,-0.1331%
2024-08-22,987930.53,-1.2069%,-0.1933%
2024-08-23,998106.13,-0.1894%,1.0300%
2024-08-26,998421.13,-0.1579%,0.0316%
2024-08-27,997006.13,-0.2994%,-0.1417%
2024-08-28,997136.13,-0.2864%,0.0130%
2024-08-29,990626.13,-0.9374%,-0.6529%
2024-08-30,994871.13,-0.5129%,0.4285%
2024-09-02,986476.39,-1.3524%,-0.8438%
2024-09-03,986001.39,-1.3999%,-0.0482%
2024-09-04,978511.39,-2.1489%,-0.7596%
2024-09-05,984491.39,-1.5509%,0.6111%
2024-09-06,982386.39,-1.7614%,-0.2138%
2024-09-09,977821.39,-2.2179%,-0.4647%
2024-09-10,979011.39,-2.0989%,0.1217%
2024-09-11,982871.20,-1.7129%,0.3943%
2024-09-12,981181.20,-1.8819%,-0.1719%
2024-09-13,980661.20,-1.9339%,-0.0530%
2024-09-18,982546.20,-1.7454%,0.1922%
2024-09-19,982806.20,-1.7194%,0.0265%
2024-09-20,981538.74,-1.8461%,-0.1290%
2024-09-23,983548.74,-1.6451%,0.2048%
2024-09-24,1010063.74,1.0064%,2.6959%
2024-09-25,1013422.36,1.3422%,0.3325%
2024-09-26,1066625.36,6.6625%,5.2498%
2024-09-27,1105611.36,10.5611%,3.6551%
2024-09-30,1186953.36,18.6953%,7.3572%
2024-10-08,1234706.36,23.4706%,4.0232%
2024-10-09,1140724.36,14.0724%,-7.6117%
2024-10-10,1150770.91,15.0771%,0.8807%
2024-10-11,1149755.91,14.9756%,-0.0882%
2024-10-14,1149958.91,14.9959%,0.0177%
2024-10-15,1147464.91,14.7465%,-0.2169%
2024-10-16,1146652.91,14.6653%,-0.0708%
2024-10-17,1145086.91,14.5087%,-0.1366%
2024-10-18,1144899.35,14.4899%,-0.0164%
2024-10-21,1144899.35,14.4899%,0.0000%
2024-10-22,1144899.35,14.4899%,0.0000%
2024-10-23,1144899.35,14.4899%,0.0000%
2024-10-24,1144899.35,14.4899%,0.0000%
2024-10-25,1144899.35,14.4899%,0.0000%
2024-10-28,1144899.35,14.4899%,0.0000%
2024-10-29,1144899.35,14.4899%,0.0000%
2024-10-30,1144899.35,14.4899%,0.0000%
2024-10-31,1144899.35,14.4899%,0.0000%
2024-11-01,1144899.35,14.4899%,0.0000%
2024-11-04,1144899.35,14.4899%,0.0000%
2024-11-05,1144899.35,14.4899%,0.0000%
2024-11-06,1144899.35,14.4899%,0.0000%
2024-11-07,1144899.35,14.4899%,0.0000%
2024-11-08,1122396.73,12.2397%,-1.9655%
2024-11-11,1128673.22,12.8673%,0.5592%
2024-11-12,1116851.22,11.6851%,-1.0474%
2024-11-13,1117968.66,11.7969%,0.1001%
2024-11-14,1102389.66,10.2390%,-1.3935%
2024-11-15,1085255.52,8.5256%,-1.5543%
2024-11-18,1082694.96,8.2695%,-0.2359%
2024-11-19,1081824.11,8.1824%,-0.0804%
2024-11-20,1082713.99,8.2714%,0.0823%
2024-11-21,1084003.99,8.4004%,0.1191%
2024-11-22,1072049.99,7.2050%,-1.1028%
2024-11-25,1074715.99,7.4716%,0.2487%
2024-11-26,1072049.99,7.2050%,-0.2481%
2024-11-27,1071098.95,7.1099%,-0.0887%
2024-11-28,1067648.57,6.7649%,-0.3221%
2024-11-29,1065013.57,6.5014%,-0.2468%
2024-12-02,1062628.87,6.2629%,-0.2239%
2024-12-03,1062628.87,6.2629%,0.0000%
2024-12-04,1058107.95,5.8108%,-0.4254%
2024-12-05,1054302.80,5.4303%,-0.3596%
2024-12-06,1059042.80,5.9043%,0.4496%
2024-12-09,1058366.80,5.8367%,-0.0638%
2024-12-10,1070648.80,7.0649%,1.1605%
2024-12-11,1075040.13,7.5040%,0.4102%
2024-12-12,1081840.13,8.1840%,0.6325%
2024-12-13,1056007.12,5.6007%,-2.3879%
2024-12-16,1057022.12,5.7022%,0.0961%
2024-12-17,1052987.88,5.2988%,-0.3817%
2024-12-18,1060423.34,6.0423%,0.7061%
2024-12-19,1051917.34,5.1917%,-0.8021%
2024-12-20,1038931.89,3.8932%,-1.2345%
2024-12-23,1039190.83,3.9191%,0.0249%
2024-12-24,1047885.86,4.7886%,0.8367%
2024-12-25,1046655.86,4.6656%,-0.1174%
2024-12-26,1046191.86,4.6192%,-0.0443%
2024-12-27,1049117.43,4.9117%,0.2796%
2024-12-30,1048952.43,4.8952%,-0.0157%
2024-12-31,1033307.43,3.3307%,-1.4915%
2025-01-02,1014098.26,1.4098%,-1.8590%
